rmse,n_hidden,alpha,rbf_width
7.896050873391955,37.0,0.2268514535642031,0.7503852680901562
9.86035652883145,310.0,0.5723135366314989,5.52655303044509e-05
19.28397934716216,13.0,0.6275799857910759,0.03524374744895977
22.119299503226713,18.0,0.08740630845952124,5.447595977475015e-05
16.851305633167435,12.0,0.18596531220043622,0.04643369449704818
11.95984223944239,34.0,0.131408478173487,11.653578338349801
13.93023283287418,34.0,0.6052952376255275,0.098564693560347
14.706563213997244,42.0,0.5547922915643344,9.80419371311051e-05
4.9750593012136575,787.0,0.38802888678400627,0.35569293439791505
10.402047897705346,58.0,0.8286376417073243,2.926356898304027
15.689784712778907,18.0,0.1095561231138934,0.008640926567903818
5.674032988935151,79.0,0.6277456560604853,4.784376892421973
9.22080721288575,45.0,0.19539817561257988,0.4258950545794389
26.987878289589485,20.0,0.2134618842296404,0.00011817117621629445
10.084180908175549,15.0,0.6953709675914782,40.453067285052924
20.650534749017016,257.0,0.3240275277438762,1.7595265695132853
5.5003830508346585,321.0,0.9342233418998186,0.027336109954629442
11.906627993428815,16.0,0.0009847764137048687,1.7192483470787356
90.8548160020042,111.0,0.04303308197223432,26.405742730397684
53.02545102267585,131.0,0.6559847055064072,20.6267437686789
5.173728223170592,925.0,0.9744853603898859,0.0013371649577011264
5.191239005641142,839.0,0.40197676712173497,0.0013360517298547396
5.62417963566774,981.0,0.44902845846944694,0.001792606261299934
13.895179846205234,657.0,0.7982778316559528,0.0006172787037624763
6.130689556299564,485.0,0.35208283329446877,0.004350431787642258
6.295437849125884,202.0,0.9926444276967366,1.6503824707957037e-05
4.8128740571889335,478.0,0.5011412366864753,0.2378321372513606
6.769101212732549,590.0,0.5189483667659383,0.19522266390876564
4.942682882875706,427.0,0.44902827036032766,0.4348373506485837
298.339117318705,162.0,0.31440260664226805,77.08912678699625
7.151469046066644,410.0,0.45886858358643595,0.7934145495491544
7.718004023777237,382.0,0.7395202004465296,0.012295784729328756
7.498885684901745,232.0,0.2775389766029404,0.10117240776643133
162788.89776069584,571.0,0.49787473121024334,6.76529575953119
4.886802803607975,164.0,0.5594941476136639,0.8394292274137161
7.528900800012992,166.0,0.8632887697019875,0.05215542908225475
5.785914766216905,80.0,0.6812425690287189,1.1958976571341613
5.28287507695477,319.0,0.5778890842319179,0.1403243624801984
8.121562845897552,79.0,0.7527597756586835,0.021493070732287532
7.721994996360585,28.0,0.5108939782175216,8.768577012982103
12.50484153165987,60.0,0.39825858101886136,3.039693466176684
19.02218841568375,10.0,0.8865309958349796,0.25254940883177585
125.95301458722152,150.0,0.2697038145032016,97.60254959329804
7.119391191220061,198.0,0.1481360943364285,0.07492959093094755
7.050937155825995,114.0,0.5973563223231496,0.0003279354348123276
5.425522693405697,249.0,0.72586096794618,0.513604513059332
4.813019844269801,712.0,0.6419367812030038,0.006334439094453737
5.054347143688903,735.0,0.7921885897394954,0.008402327209083555
4.940693243840333,474.0,0.6581001087454303,1.2453742001374022e-05
7.388369999324811,352.0,0.6258916613668609,0.004622815970024256
