rmse,n_hidden,grbf_lambda
113.69986894145165,247.0,6.302096463125725e-07
12.217587688009598,16.0,0.006154508955580606
1112.1402299107542,103.0,6.5135181997391915e-09
12.97984448395927,16.0,2.6739644519536028e-08
389.88490525951096,112.0,4.5837861179952195e-09
143.41124913108342,541.0,3.9788492443624995e-07
242.19311544262462,138.0,4.4074274176516214e-07
12.754093711680442,19.0,1.0474909996064267e-06
207.51879538427323,200.0,0.3542272285559456
173.98527325696213,365.0,4.213953979027115e-06
226.25533525463376,69.0,2.7563240598745317e-08
115.97647428091061,420.0,1.597133343376889e-05
128.791741888535,210.0,1.446872837914469e-06
12.829207515217469,20.0,3.9909819893321044e-08
261.8056325182681,772.0,1.2111390824366344e-08
104.89471171882367,315.0,0.0027520814306537596
26.33108155866642,96.0,0.007189719043800491
210.4180782495364,313.0,1.813624160503465e-08
97.26849992848655,684.0,7.105175183988449e-05
77.4863864733192,637.0,0.00014426635430402166
11.662073463727817,31.0,0.9913870903396089
15.866365386174314,35.0,0.7673961818646966
12.610348451727866,10.0,0.057017301179760546
10.036017576847659,39.0,0.002067245506265282
12.300662507757453,46.0,0.08242283025405196
11.775245944092802,33.0,0.0005573770526598062
12.513341235148207,58.0,0.03336813767505371
10.535880066425863,33.0,0.001275884682330615
12.542531010023806,11.0,0.0009553353333120266
11.511008919219117,25.0,0.00023227777194807951
14.783907594338428,51.0,1.4097512652817975e-05
12.70292616194085,11.0,0.017085818237744386
11.40094349819952,76.0,0.0019456524926771198
10.656034748322908,43.0,0.15568975855981146
12.102541212914824,16.0,0.00919540032587827
37.42138442152822,132.0,2.5379727046531824e-05
11.444875670158382,22.0,0.0025967778611241704
11.979457343568777,14.0,0.00044117602096360416
25.997540425049237,81.0,9.182494824140072e-05
223.21407946195683,162.0,1.402299291364923e-07
38.549595450189024,61.0,4.1629306154059416e-06
8.376292843533538,41.0,0.3050378044504138
10.26519569978502,25.0,0.5799096731517146
13.997674997109982,14.0,0.27298057670596143
37.73635924090871,95.0,0.03198677994753329
37.49614065768497,128.0,0.13213485699547506
12.375969806867671,40.0,0.0040048556482034986
170.41942440134628,159.0,2.3505095173991203e-09
295.6905697342754,981.0,0.01432126139214748
14.492186595760225,63.0,0.39176770497070895
